"Metabolite","Taxon","rho","p","q"
"11-(2-cyclopenten-1-yl)-9Z-undecenoic acid","Actinobacteriota",-0.935714285714286,3.01064562140084e-07,1.8063873728405e-05
"1-{4-methoxy-2,12-diazahexacyclo[14.3.2.1,.0,.0,.0,]docosa-3(8),4,6-trien-2-yl}ethanone","Actinobacteriota",-0.903571428571428,3.88050412879976e-06,5.82075619319964e-05
"4-(Ethoxymethyl)-2-methyl-1H-indole","Actinobacteriota",-0.932142857142857,4.24121823154346e-07,1.90854820419456e-05
"FJ120DPA","Actinobacteriota",0.921428571428571,1.07131729816209e-06,2.41046392086469e-05
"Dehydrosalsolidine","Actinobacteriota",-0.9,4.87197094873561e-06,6.74580592901853e-05
"8-keto palmitic acid","Actinobacteriota",-0.896428571428571,6.0661430217299e-06,7.27937162607596e-05
"Ethyl (E)-8-Oxohexadec-9-Enoate","Actinobacteriota",0.832142857142857,0.000119028244938498,0.000793521632923319
"Pregabalin","Actinobacteriota",-0.842857142857143,7.96719525272489e-05,0.0006518614297684
"11-(2-cyclopenten-1-yl)-9Z-undecenoic acid","Nitrospirota",-0.903571428571428,3.88050412879976e-06,5.82075619319964e-05
"1-{4-methoxy-2,12-diazahexacyclo[14.3.2.1,.0,.0,.0,]docosa-3(8),4,6-trien-2-yl}ethanone","Nitrospirota",-0.792857142857143,0.00042207718519235,0.00194804854704161
"4-(Ethoxymethyl)-2-methyl-1H-indole","Nitrospirota",-0.835714285714286,0.000104446873277133,0.000752017487595357
"FJ120DPA","Nitrospirota",0.8,0.000342269833035693,0.00171134916517847
"Dehydrosalsolidine","Nitrospirota",-0.835714285714286,0.000104446873277133,0.000752017487595357
"8-keto palmitic acid","Nitrospirota",-0.939285714285714,2.09458019366863e-07,1.8063873728405e-05
"Ethyl (E)-8-Oxohexadec-9-Enoate","Nitrospirota",0.828571428571429,0.000135244780132769,0.000869430729424947
"Pregabalin","Nitrospirota",-0.925,7.98746211381861e-07,2.05391882926764e-05
"5-hydroxy-3,6,10-trimethyl-3h,3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-2-one","Fibrobacterota",0.735714285714286,0.00176986864214427,0.00612646837665324
"2-(4a,8-dimethyl-2,3,4,8a-tetrahydro-1h-naphthalen-2-yl)propan-2-ol","Fibrobacterota",0.832142857142857,0.000119028244938498,0.000793521632923319
"9-oxo-7E-hexadecenoic acid","Fibrobacterota",0.753571428571428,0.00117758302348883,0.00471033209395532
"Ent-paeciloketal A","Fibrobacterota",0.646428571428571,0.00921455068997997,0.0224137719485999
"Albocycline M-4","Fibrobacterota",0.810714285714286,0.000246007977972205,0.00134186169803021
"Schiffnerone A","Fibrobacterota",0.792857142857143,0.00042207718519235,0.00194804854704161
"2-Hydroxycinnamic acid, predominantly trans","Fibrobacterota",0.728571428571428,0.0020652097446908,0.00701391988762912
"5-hydroxy-3,6,10-trimethyl-3h,3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-2-one","Bdellovibrionota",-0.760714285714286,0.000991128611982367,0.0041489104687634
"2-(4a,8-dimethyl-2,3,4,8a-tetrahydro-1h-naphthalen-2-yl)propan-2-ol","Bdellovibrionota",-0.842857142857143,7.96719525272489e-05,0.0006518614297684
"9-oxo-7E-hexadecenoic acid","Bdellovibrionota",-0.789285714285714,0.000467326756178176,0.00210297040280179
"Ent-paeciloketal A","Bdellovibrionota",-0.778571428571428,0.000627350129480358,0.00275422008064547
"Albocycline M-4","Bdellovibrionota",-0.803571428571428,0.000307265031812509,0.00158022016360719
"Schiffnerone A","Bdellovibrionota",-0.810714285714286,0.000246007977972206,0.00134186169803021
"2-Hydroxycinnamic acid, predominantly trans","Bdellovibrionota",-0.692857142857143,0.00419023296029815,0.012783761573791
"9-oxo-7E-hexadecenoic acid","Deinococcota",-0.735866835779409,0.0017639539563506,0.00612646837665324
"Ent-paeciloketal A","Deinococcota",-0.676849946694344,0.00558166051955872,0.0159476014844535
"2-Hydroxycinnamic acid, predominantly trans","Deinococcota",-0.651030057719628,0.00857059124087823,0.0220386631908297
"5-hydroxy-3,6,10-trimethyl-3h,3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-2-one","Firmicutes",-0.739285714285714,0.00163551114354076,0.00600800011912934
"2-(4a,8-dimethyl-2,3,4,8a-tetrahydro-1h-naphthalen-2-yl)propan-2-ol","Firmicutes",-0.842857142857143,7.96719525272489e-05,0.0006518614297684
"9-oxo-7E-hexadecenoic acid","Firmicutes",-0.707142857142857,0.00319548125824508,0.0100909934470897
"Ent-paeciloketal A","Firmicutes",-0.657142857142857,0.00777025135866843,0.0208753021576167
"Albocycline M-4","Firmicutes",-0.825,0.000153235570905647,0.00095111733665574
"Schiffnerone A","Firmicutes",-0.792857142857143,0.00042207718519235,0.00194804854704161
"2-Hydroxycinnamic acid, predominantly trans","Firmicutes",-0.653571428571428,0.00823037146363897,0.0214705342529712
"11-(2-cyclopenten-1-yl)-9Z-undecenoic acid","Gemmatimonadota",0.857142857142857,4.44600444700478e-05,0.000444600444700481
"1-{4-methoxy-2,12-diazahexacyclo[14.3.2.1,.0,.0,.0,]docosa-3(8),4,6-trien-2-yl}ethanone","Gemmatimonadota",0.925,7.9874621138185e-07,2.05391882926764e-05
"4-(Ethoxymethyl)-2-methyl-1H-indole","Gemmatimonadota",0.903571428571428,3.88050412879976e-06,5.82075619319964e-05
"FJ120DPA","Gemmatimonadota",-0.928571428571428,5.86793827080346e-07,2.05391882926764e-05
"Dehydrosalsolidine","Gemmatimonadota",0.939285714285714,2.09458019366857e-07,1.8063873728405e-05
"8-keto palmitic acid","Gemmatimonadota",0.75,0.00128089845093553,0.00490556853549779
"Ethyl (E)-8-Oxohexadec-9-Enoate","Gemmatimonadota",-0.807142857142857,0.00027524427069542,0.00145717555074046
"Pregabalin","Gemmatimonadota",0.753571428571428,0.00117758302348883,0.00471033209395532
"5-hydroxy-3,6,10-trimethyl-3h,3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-2-one","Desulfobacterota",-0.857142857142857,4.44600444700481e-05,0.000444600444700481
"2-(4a,8-dimethyl-2,3,4,8a-tetrahydro-1h-naphthalen-2-yl)propan-2-ol","Desulfobacterota",-0.664285714285714,0.0069106829845192,0.0191372759571301
"9-oxo-7E-hexadecenoic acid","Desulfobacterota",-0.846428571428571,6.92382360973726e-05,0.0006518614297684
"Ent-paeciloketal A","Desulfobacterota",-0.65,0.00871158362191229,0.0220857049569607
"Albocycline M-4","Desulfobacterota",-0.717857142857143,0.00258116530821885,0.00844745009962533
"Schiffnerone A","Desulfobacterota",-0.635714285714286,0.0108607461687898,0.0257228198734495
"2-Hydroxycinnamic acid, predominantly trans","Desulfobacterota",-0.907142857142857,3.06331053549382e-06,5.82075619319964e-05
"11-(2-cyclopenten-1-yl)-9Z-undecenoic acid","Entotheonellaeota",0.678571428571428,0.00541655021959171,0.0157254683794598
"1-{4-methoxy-2,12-diazahexacyclo[14.3.2.1,.0,.0,.0,]docosa-3(8),4,6-trien-2-yl}ethanone","Entotheonellaeota",0.660714285714286,0.00733056983089171,0.0199924631751592
"4-(Ethoxymethyl)-2-methyl-1H-indole","Entotheonellaeota",0.671428571428571,0.00612776678882009,0.0172343440935565
"FJ120DPA","Entotheonellaeota",-0.678571428571428,0.00541655021959171,0.0157254683794598
"Dehydrosalsolidine","Entotheonellaeota",0.639285714285714,0.0102884466195942,0.024692271887026
"8-keto palmitic acid","Entotheonellaeota",0.896428571428571,6.06614302172997e-06,7.27937162607596e-05
"Ethyl (E)-8-Oxohexadec-9-Enoate","Entotheonellaeota",-0.817857142857143,0.0001951365470632,0.0011708192823792
"Pregabalin","Entotheonellaeota",0.810714285714286,0.000246007977972205,0.00134186169803021
"5-hydroxy-3,6,10-trimethyl-3h,3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-2-one","SAR324_clade(Marine_group_B)",0.857142857142857,4.44600444700478e-05,0.000444600444700481
"2-(4a,8-dimethyl-2,3,4,8a-tetrahydro-1h-naphthalen-2-yl)propan-2-ol","SAR324_clade(Marine_group_B)",0.75,0.00128089845093553,0.00490556853549779
"9-oxo-7E-hexadecenoic acid","SAR324_clade(Marine_group_B)",0.717857142857143,0.00258116530821885,0.00844745009962533
"Ent-paeciloketal A","SAR324_clade(Marine_group_B)",0.621428571428571,0.0134020067121818,0.0309277077973426
"Albocycline M-4","SAR324_clade(Marine_group_B)",0.735714285714286,0.00176986864214427,0.00612646837665324
"Schiffnerone A","SAR324_clade(Marine_group_B)",0.739285714285714,0.00163551114354076,0.00600800011912934
"2-Hydroxycinnamic acid, predominantly trans","SAR324_clade(Marine_group_B)",0.835714285714286,0.000104446873277133,0.000752017487595357
"9-oxo-7E-hexadecenoic acid","Patescibacteria",0.696428571428571,0.00392119050687955,0.0121692119179021
"Ent-paeciloketal A","Patescibacteria",0.689285714285714,0.00447373445090621,0.0134212033527186
